"","Vgene","Freq","Condition","Percentage","Y28-2","Y28-4","Y29-2","Y54-4","Y165-1","Y167-1","Y170-1","Y172-1","Y111-1","Y113-1","Y117-1","Y129-1","sem"
"41","TRBV29-1",7,"HD",4.14201183431953,2.36686390532544,0.591715976331361,0,1.18343195266272,1.18343195266272,0.591715976331361,1.18343195266272,1.18343195266272,0.591715976331361,0,0,0,0.505273706408264
"42","TRBV7-9",7,"HD",4.14201183431953,1.18343195266272,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0,0,0,0,0.591715976331361,1.18343195266272,0,0.14792899408284
"43","TRBV18",6,"HD",3.55029585798817,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,0,0,0,0,0.170813689109357
"44","TRBV19",6,"HD",3.55029585798817,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,3.55029585798817,0,0.591715976331361,0.591715976331361,0,0.591715976331361,0,0,0.170813689109357
"45","TRBV2",6,"HD",3.55029585798817,1.77514792899408,0.591715976331361,0.591715976331361,0.591715976331361,1.77514792899408,1.18343195266272,2.36686390532544,0.591715976331361,0,0,0,0,0.29585798816568
"46","TRBV27",6,"HD",3.55029585798817,0.591715976331361,1.18343195266272,1.18343195266272,0.591715976331361,2.36686390532544,1.77514792899408,0.591715976331361,0,0,0,0,0,0.170813689109357
"47","TRBV28",6,"HD",3.55029585798817,0.591715976331361,0,1.18343195266272,1.77514792899408,1.18343195266272,0.591715976331361,0,0,1.18343195266272,1.77514792899408,0,0,0.381951020336037
"48","TRBV6-5",6,"HD",3.55029585798817,1.18343195266272,0.591715976331361,0.591715976331361,1.18343195266272,2.9585798816568,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,0.591715976331361,0,0,0.170813689109357
"49","TRBV14",5,"HD",2.9585798816568,1.77514792899408,0.591715976331361,0,0.591715976331361,1.77514792899408,1.18343195266272,0,0,0,0,0.591715976331361,0,0.37227980450053
"50","TRBV3-1",5,"HD",2.9585798816568,1.77514792899408,0,0,1.18343195266272,0.591715976331361,0.591715976331361,0,0,0,0,0.591715976331361,0,0.443786982248521
"51","TRBV5-6",5,"HD",2.9585798816568,1.18343195266272,0,0.591715976331361,1.18343195266272,0,1.18343195266272,0,0,0,1.18343195266272,0,0,0.283262457916076
"52","TRBV6-6",5,"HD",2.9585798816568,0.591715976331361,1.18343195266272,1.18343195266272,0,1.18343195266272,0.591715976331361,0,0,0,0,0,0,0.283262457916076
"53","TRBV7-8",5,"HD",2.9585798816568,1.18343195266272,0,1.77514792899408,0,4.14201183431953,0,1.18343195266272,0,0.591715976331361,1.18343195266272,0,0,0.443786982248521
"54","TRBV11-2",4,"HD",2.36686390532544,0.591715976331361,0.591715976331361,0,1.18343195266272,1.18343195266272,0.591715976331361,0.591715976331361,1.77514792899408,27.810650887574,23.0769230769231,25.4437869822485,0.591715976331361,0.241567035777434
"55","TRBV12-4",4,"HD",2.36686390532544,0.591715976331361,1.18343195266272,0.591715976331361,0,1.18343195266272,0,0,0,0,0.591715976331361,0,0,0.241567035777434
"56","TRBV13",4,"HD",2.36686390532544,1.77514792899408,0,0.591715976331361,0,0,0,0,0,0,0,0,0,0.418406379400324
"57","TRBV4-1",4,"HD",2.36686390532544,0,0,1.18343195266272,1.18343195266272,0,0,0.591715976331361,0,0.591715976331361,0,0,0,0.341627378218713
"58","TRBV7-2",4,"HD",2.36686390532544,1.18343195266272,0,0.591715976331361,0.591715976331361,0,0.591715976331361,0,1.18343195266272,1.77514792899408,0,0,0,0.241567035777434
"59","TRBV10-3",3,"HD",1.77514792899408,0.591715976331361,0.591715976331361,0,0.591715976331361,0.591715976331361,0,0.591715976331361,0,0,0,0,0,0.14792899408284
"60","TRBV30",3,"HD",1.77514792899408,0.591715976331361,0.591715976331361,0.591715976331361,0,0.591715976331361,0.591715976331361,0,0,0,1.18343195266272,0,0,0.14792899408284
"61","TRBV4-2",3,"HD",1.77514792899408,0.591715976331361,0,0,1.18343195266272,3.55029585798817,0.591715976331361,0,0.591715976331361,0,0,0,0,0.283262457916076
"62","TRBV7-3",3,"HD",1.77514792899408,0.591715976331361,0.591715976331361,0.591715976331361,0,0,0,0,0,0,0,0,0,0.14792899408284
"63","TRBV15",2,"HD",1.18343195266272,0,0.591715976331361,0,0.591715976331361,0,1.18343195266272,0,1.18343195266272,0,0,0,0,0.170813689109357
"64","TRBV5-5",2,"HD",1.18343195266272,0,0,1.18343195266272,0,1.18343195266272,0,0.591715976331361,1.77514792899408,0,0,0,0,0.295857988165681
"65","TRBV5-8",2,"HD",1.18343195266272,0.591715976331361,0,0.591715976331361,0,0,0.591715976331361,0,0.591715976331361,0,0,0,0,0.170813689109357
